season,ep_no,ep_title,ep_rating
28,4,Treehouse of Horror XXVII,6.8
28,5,Trust But Clarify,6.3
28,6,There Will Be Buds,6.6
28,7,Havana Wild Weekend,6.2
28,8,Dad Behavior,6.5
28,9,The Last Traction Hero,6.3
28,10,The Nightmare After Krustmas,5.9
28,11,Pork and Burns,6.7
28,12,The Great Phatsby,6.1
28,13,Fatzcarraldo,6.3
28,14,The Cad and the Hat,6.4
28,15,Kamp Krustier,6.5
28,16,22 for 30,6.5
28,17,A Father's Watch,6.7
28,18,The Caper Chase,6.1
28,19,Looking for Mr. Goodbart,6.8
28,20,Moho House,6.1
28,21,Dogtown,6.4
29,1,The Serfsons,6.8
29,2,Springfield Splendor,6.5
29,3,Whistler's Father,6.1
29,4,Treehouse of Horror XXVIII,7.1
29,5,Grampy Can Ya Hear Me,6.4
29,6,The Old Blue Mayor She Ain't What She Used To Be,6.3
29,7,Singin' in the Lane,6.4
29,8,Mr. Lisa's Opus,6.8
29,9,Gone Boy,7.2
29,10,Haw-Haw Land,6.5
29,11,Frink Gets Testy,6.2
29,12,Homer is Where the Art Isn't,6.6
29,13,3 Scenes Plus a Tag from a Marriage,6.6
29,14,Fears of a Clown,6
29,15,No Good Read Goes Unpunished,6.3
29,16,King Leer,6.3
29,17,Lisa Gets the Blues,6.7
29,18,Forgive and Regret,7
29,19,Left Behind,6.6
29,20,Throw Grampa from the Dane,6.7
29,21,Flanders' Ladder,7.6
30,1,Bart's Not Dead,6.3
30,2,Heartbreak Hotel,6.1
30,3,My Way or the Highway to Heaven,6.2
30,4,Treehouse of Horror XXIX,6
30,5,Baby You Can't Drive My Car,7
30,6,From Russia Without Love,6.5
30,7,Werking Mom,5.8
30,8,Krusty the Clown,6.5
30,9,Daddicus Finch,6.8
30,10,'Tis the 30th Season,6.7
30,11,Mad About the Toy,6
30,12,The Girl on the Bus,6.5
30,13,I'm Dancing as Fat as I Can,6.8
30,14,The Clown Stays in the Picture,6.2
30,15,101 Mitigations,6.4
30,16,I Want You (She's So Heavy),5.8
30,17,E My Sports,6.4
30,18,Bart vs. Itchy & Scratchy,5
30,19,Girl's in the Band,6.4
30,20,I'm Just a Girl Who Can't Say D'oh,5.6
30,21,D'oh Canada,5.8
30,22,Woo-Hoo Dunnit?,6.2
30,23,Crystal Blue-Haired Persuasion,6.1
31,1,The Winter of Our Monetized Content,5.9
31,2,Go Big or Go Homer,5.9
31,3,The Fat Blue Line,6.5
31,4,Treehouse of Horror XXX,6.8
31,5,Gorillas on the Mast,6.2
31,6,Marge the Lumberjill,5.6
31,7,Livin la Pura Vida,6.5
31,8,Thanksgiving of Horror,7.3
31,9,"Todd, Todd, Why Hast Thou Forsaken Me?",6.5
31,10,"Bobby, It's Cold Outside",6.5
31,11,Hail to the Teeth,6
31,12,The Miseducation of Lisa Simpson,6.5
31,13,Frinkcoin,5.9
31,14,Bart the Bad Guy,7.2
31,15,Screenless,6.5
31,16,Better Off Ned,6.4
31,17,Highway to Well,6.9
31,18,The Incredible Lightness of Being a Baby,6.3
31,19,Warrin' Priests,6.1
31,20,Warrin' Priests Part 2,5.8
31,21,The Hateful Eight-Year-Olds,6.5
31,22,The Way of the Dog,7.4
32,1,Undercover Burns,6.5
32,2,"I, Carumbus",6.8
32,3,"Now Museum, Now You Don't",5.8
32,4,Treehouse of Horror XXXI,6.3
32,5,The 7 Beer Itch,5.7
32,6,Podcast News,6.7
32,7,Three Dreams Denied,6.3
32,8,The Road to Cincinnati,6.6
32,9,Sorry Not Sorry,6.3
32,10,A Springfield Summer Christmas for Christmas,6.3
32,11,The Dad-Feelings Limited,7.1
32,12,Diary Queen,6.9
32,13,Wad Goals,6.3
32,14,Yokel Hero,5.6
32,15,Do Pizza Bots Dream of Electric Guitars,5.9
32,16,Manger Things,6.4
32,17,Uncut Femmes,6.5
32,18,Burger Kings,6.7
32,19,Panic on the Streets of Springfield,6.3
32,20,Mother and Child Reunion,6.7
32,21,The Man from G.R.A.M.P.A.,6.3
32,22,The Last Barfighter,7.4
33,1,The Star of the Backstage,4.4
33,2,Bart's in Jail!,7
33,3,Treehouse of Horror XXXII,6.7
33,4,The Wayz We Were,6.8
33,5,Lisa's Belly,6.8
33,6,A Serious Flanders,8.2
33,7,A Serious Flanders: Part 2,8.2
33,8,Portrait of a Lackey on Fire,6.2
33,9,Mothers and Other Strangers,6.3
33,10,A Made Maggie,6.9
33,11,The Longest Marge,5.8
33,12,Pixelated and Afraid,7.7
33,13,Boyz N the Highlands,6.7
33,14,You Won't Believe What This Episode Is About - Act Three Will Shock You!,6.5
33,15,Bart the Cool Kid,6.4
33,16,Pretty Whittle Liar,6.2
33,17,The Sound of Bleeding Gums,5.9
33,18,My Octopus and a Teacher,6.5
